fecha,algo,iteraciones,pop_agresivos,pop_cooperativos,pop_neutrales,Aggressive,Cooperative,Neutral,pct_Aggressive,pct_Cooperative,pct_Neutral
2026-05-15 20:48:14,anthropic_sonnet46_default_75_noise,500,4,4,4,120,200,180,24.0,40.0,36.0
2026-05-15 20:48:14,anthropic_sonnet46_default_75_noise,500,8,2,2,299,115,86,59.8,23.0,17.2
2026-05-15 20:48:14,anthropic_sonnet46_prose_75_noise,500,4,4,4,138,183,179,27.6,36.6,35.8
2026-05-15 20:48:14,anthropic_sonnet46_prose_75_noise,500,8,2,2,321,84,95,64.2,16.8,19.0
2026-05-15 20:48:14,anthropic_sonnet46_refine_75_noise,500,4,4,4,145,204,151,29.0,40.8,30.2
2026-05-15 20:48:14,anthropic_sonnet46_refine_75_noise,500,8,2,2,308,117,75,61.6,23.4,15.0
2026-05-15 20:48:14,gemini_25_flash_default_75_noise,500,4,4,4,99,194,207,19.8,38.8,41.4
2026-05-15 20:48:14,gemini_25_flash_default_75_noise,500,8,2,2,304,116,80,60.8,23.2,16.0
2026-05-15 20:48:14,gemini_25_flash_prose_75_noise,500,4,4,4,200,140,160,40.0,28.0,32.0
2026-05-15 20:48:14,gemini_25_flash_prose_75_noise,500,8,2,2,384,46,70,76.8,9.2,14.0
2026-05-15 20:48:14,gemini_25_flash_refine_75_noise,500,4,4,4,180,162,158,36.0,32.4,31.6
2026-05-15 20:48:14,gemini_25_flash_refine_75_noise,500,8,2,2,367,66,67,73.4,13.2,13.4
2026-05-15 20:48:14,gemini_31_pro_default_75_noise,500,4,4,4,153,176,171,30.6,35.2,34.2
2026-05-15 20:48:14,gemini_31_pro_default_75_noise,500,8,2,2,313,100,87,62.6,20.0,17.4
2026-05-15 20:48:14,gemini_31_pro_prose_75_noise,500,4,4,4,140,185,175,28.0,37.0,35.0
2026-05-15 20:48:14,gemini_31_pro_prose_75_noise,500,8,2,2,299,94,107,59.8,18.8,21.4
2026-05-15 20:48:14,gemini_31_pro_refine_75_noise,500,4,4,4,168,150,182,33.6,30.0,36.4
2026-05-15 20:48:14,gemini_31_pro_refine_75_noise,500,8,2,2,327,74,99,65.4,14.8,19.8
2026-05-15 20:48:14,openai_gpt54mini_default_75_noise,500,4,4,4,71,233,196,14.2,46.6,39.2
2026-05-15 20:48:14,openai_gpt54mini_default_75_noise,500,8,2,2,259,124,117,51.8,24.8,23.4
2026-05-15 20:48:14,openai_gpt54mini_prose_75_noise,500,4,4,4,155,168,177,31.0,33.6,35.4
2026-05-15 20:48:14,openai_gpt54mini_prose_75_noise,500,8,2,2,329,81,90,65.8,16.2,18.0
2026-05-15 20:48:14,openai_gpt54mini_refine_75_noise,500,4,4,4,126,209,165,25.2,41.8,33.0
2026-05-15 20:48:14,openai_gpt54mini_refine_75_noise,500,8,2,2,301,97,102,60.2,19.4,20.4
